field_name,operator,status,discovery_wellbore,completion_date,situated_in,supply_base,field_id,wellbore_id
VISUND SØR,Equinor Energy AS,Producing, 34/8-14 S,2008-10-21,North Sea,Mongstad,20461008,5943
VOLUND,Aker BP ASA,Producing, 24/9-5,1994-01-26,North Sea,,4380167,2244
VOLVE,,Shut down, 15/9-19 SR,1993-04-29,North Sea,Dusavik,3420717,2105
YME,Repsol Norge AS,Approved for production, 9/2-1,1987-04-28,North Sea,,43807,1038
YTTERGRYTA,Equinor Energy AS,Shut down, 6507/11-8,2007-03-07,Norwegian Sea,,4973114,5562
ÆRFUGL,Aker BP ASA,Producing, 6507/5-3,2000-06-23,Norwegian Sea,Sandnessjøen,33310197,4059
ÆRFUGL NORD,Aker BP ASA,Approved for production, 6507/3-9 S,2012-07-15,Norwegian Sea,Sandnessjøen,38542241,6951
ØST FRIGG,Aker BP ASA,Shut down, 25/2-1,1973-09-21,North Sea,,43576,353
ÅSGARD,Equinor Energy AS,Producing, 6507/11-1,1981-10-12,Norwegian Sea,Kristiansund,43765,68
AASTA HANSTEEN,Equinor Energy AS,Producing, 6707/10-1,1997-07-23,Norwegian Sea,Sandnessjøen,23395946,3075
